Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
GradientBoostingRegressor,MSE,jvm_gc_memory_promoted,5.348734915183974e+21%,2024-03-05
GradientBoostingRegressor,MAE,jvm_gc_memory_promoted,6513699701.44%,2024-03-05
GradientBoostingRegressor,R2,jvm_gc_memory_promoted,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_gc_memory_promoted,1.00%,2024-03-05
RandomForestRegressor,MSE,jvm_gc_memory_promoted,9.450927506471518e+21%,2024-03-05
RandomForestRegressor,MAE,jvm_gc_memory_promoted,6488656934.37%,2024-03-05
RandomForestRegressor,R2,jvm_gc_memory_promoted,1.00%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_gc_memory_promoted,1.00%,2024-03-05
SVR,MSE,jvm_gc_memory_promoted,1.1887907150526662e+25%,2024-03-05
SVR,MAE,jvm_gc_memory_promoted,514526307963.87%,2024-03-05
SVR,R2,jvm_gc_memory_promoted,-0.02%,2024-03-05
SVR,Explained Variance,jvm_gc_memory_promoted,0.00%,2024-03-05
GradientBoostingRegressor,MSE,jvm_gc_overhead,0.00%,2024-03-05
GradientBoostingRegressor,MAE,jvm_gc_overhead,0.00%,2024-03-05
GradientBoostingRegressor,R2,jvm_gc_overhead,0.75%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_gc_overhead,0.75%,2024-03-05
RandomForestRegressor,MSE,jvm_gc_overhead,0.00%,2024-03-05
RandomForestRegressor,MAE,jvm_gc_overhead,0.00%,2024-03-05
RandomForestRegressor,R2,jvm_gc_overhead,0.78%,2024-03-05
RandomForestRegressor,Explained Variance,jvm_gc_overhead,0.78%,2024-03-05
SVR,MSE,jvm_gc_overhead,0.01%,2024-03-05
SVR,MAE,jvm_gc_overhead,0.09%,2024-03-05
SVR,R2,jvm_gc_overhead,-18.46%,2024-03-05
SVR,Explained Variance,jvm_gc_overhead,0.18%,2024-03-05
GradientBoostingRegressor,MSE,jvm_gc_pause,192070413.56%,2024-03-05
GradientBoostingRegressor,MAE,jvm_gc_pause,6280.84%,2024-03-05
GradientBoostingRegressor,R2,jvm_gc_pause,1.00%,2024-03-05
GradientBoostingRegressor,Explained Variance,jvm_gc_pause,1.00%,2024-03-05
RandomForestRegressor,MSE,jvm_gc_pause,22833313.09%,2024-03-11
