Model Name,Accuracy Name,Metric Name,Accuracy Value,Training Date
RandomForestRegressor,MAE,jvm_threads_daemon,0.19%,2024-03-11
RandomForestRegressor,R2,jvm_threads_daemon,0.97%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_threads_daemon,0.97%,2024-03-11
SVR,MSE,jvm_memory_used,271331555661784480.00%,2024-03-11
SVR,MAE,jvm_memory_used,411268212.69%,2024-03-11
SVR,R2,jvm_memory_used,-0.02%,2024-03-11
SVR,Explained Variance,jvm_memory_used,0.00%,2024-03-11
GradientBoostingRegressor,MSE,jvm_threads_live,2.48%,2024-03-11
GradientBoostingRegressor,MAE,jvm_threads_live,0.34%,2024-03-11
GradientBoostingRegressor,R2,jvm_threads_live,0.99%,2024-03-11
GradientBoostingRegressor,Explained Variance,jvm_threads_live,0.99%,2024-03-11
SVR,MSE,jvm_threads_live,1.90%,2024-03-11
SVR,MAE,jvm_threads_live,0.27%,2024-03-11
SVR,R2,jvm_threads_live,0.99%,2024-03-11
SVR,Explained Variance,jvm_threads_live,0.99%,2024-03-11
RandomForestRegressor,MSE,jvm_threads_live,1.72%,2024-03-11
RandomForestRegressor,MAE,jvm_threads_live,0.27%,2024-03-11
RandomForestRegressor,R2,jvm_threads_live,0.99%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_threads_live,0.99%,2024-03-11
SVR,MSE,jvm_gc_pause,53480906954.75%,2024-03-11
SVR,MAE,jvm_gc_pause,78694.23%,2024-03-11
SVR,R2,jvm_gc_pause,0.22%,2024-03-11
SVR,Explained Variance,jvm_gc_pause,0.30%,2024-03-11
GradientBoostingRegressor,MSE,jvm_threads_peak,1.91%,2024-03-11
GradientBoostingRegressor,MAE,jvm_threads_peak,0.16%,2024-03-11
GradientBoostingRegressor,R2,jvm_threads_peak,0.99%,2024-03-11
GradientBoostingRegressor,Explained Variance,jvm_threads_peak,0.99%,2024-03-11
SVR,MSE,jvm_threads_peak,1.98%,2024-03-11
SVR,MAE,jvm_threads_peak,0.15%,2024-03-11
SVR,R2,jvm_threads_peak,0.99%,2024-03-11
SVR,Explained Variance,jvm_threads_peak,0.99%,2024-03-11
SVR,MSE,jvm_threads_started,8577299.79%,2024-03-11
SVR,MAE,jvm_threads_started,819.37%,2024-03-11
SVR,R2,jvm_threads_started,0.98%,2024-03-11
SVR,Explained Variance,jvm_threads_started,0.98%,2024-03-11
RandomForestRegressor,MSE,jvm_threads_peak,1.77%,2024-03-11
RandomForestRegressor,MAE,jvm_threads_peak,0.12%,2024-03-11
RandomForestRegressor,R2,jvm_threads_peak,0.99%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_threads_peak,0.99%,2024-03-11
GradientBoostingRegressor,MSE,jvm_threads_started,179183.46%,2024-03-11
GradientBoostingRegressor,MAE,jvm_threads_started,121.54%,2024-03-11
GradientBoostingRegressor,R2,jvm_threads_started,1.00%,2024-03-11
GradientBoostingRegressor,Explained Variance,jvm_threads_started,1.00%,2024-03-11
SVR,MSE,http_server_requests_active,52.04%,2024-03-11
SVR,MAE,http_server_requests_active,1.85%,2024-03-11
SVR,R2,http_server_requests_active,0.77%,2024-03-11
SVR,Explained Variance,http_server_requests_active,0.77%,2024-03-11
RandomForestRegressor,MSE,jvm_threads_started,199619.63%,2024-03-11
RandomForestRegressor,MAE,jvm_threads_started,65.71%,2024-03-11
RandomForestRegressor,R2,jvm_threads_started,1.00%,2024-03-11
RandomForestRegressor,Explained Variance,jvm_threads_started,1.00%,2024-03-11
GradientBoostingRegressor,MSE,jvm_threads_states,0.73%,2024-03-11
GradientBoostingRegressor,MAE,jvm_threads_states,0.28%,2024-03-11
GradientBoostingRegressor,R2,jvm_threads_states,1.00%,2024-03-11
GradientBoostingRegressor,Explained Variance,jvm_threads_states,1.00%,2024-03-11
SVR,MSE,process_cpu_usage,0.01%,2024-03-11
SVR,MAE,process_cpu_usage,0.06%,2024-03-11
SVR,R2,process_cpu_usage,0.73%,2024-03-11
SVR,Explained Variance,process_cpu_usage,0.78%,2024-03-11
GradientBoostingRegressor,MSE,process_cpu_usage,0.00%,2024-03-11
GradientBoostingRegressor,MAE,process_cpu_usage,0.02%,2024-03-11
