metric_id,name,description,baseUnit,statistic,value,tags
1232,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1232,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1232,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1297,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1297,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1297,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1362,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1362,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1362,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1427,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1427,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1427,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1492,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1492,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1492,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1557,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1557,spring.data.repository.invocations,Duration of repository invocations,seconds,TOTAL_TIME,2.6745776130000003,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1557,spring.data.repository.invocations,Duration of repository invocations,seconds,MAX,0.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
1622,spring.data.repository.invocations,Duration of repository invocations,seconds,COUNT,99.0,"exception: None; method: save, deleteById, saveAll, findAll; state: SUCCESS; repository: NewsRepository, GameRepository, MovieRepository, WeatherPredictRepository, TaskRepository, AnimeRepository, TVShowRepository, EmailRepository, DollarRepository"
