metric_id,name,description,baseUnit,statistic,value,tags
10417,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328335360.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10470,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328400896.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10523,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328531968.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10629,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328728576.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10682,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328794112.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10788,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328859648.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10894,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328925184.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
10947,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,328990720.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
11000,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,329056256.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
11106,jvm.memory.committed,The amount of memory in bytes that is committed for the Java virtual machine to use,bytes,VALUE,329121792.0,"area: heap, nonheap; id: CodeHeap 'profiled nmethods', G1 Old Gen, G1 Survivor Space, CodeHeap 'non-profiled nmethods', Compressed Class Space, Metaspace, G1 Eden Space, CodeHeap 'non-nmethods'"
