metric_id,name,description,baseUnit,statistic,value,tags
1343,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1343,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1343,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1408,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1408,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1408,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1473,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1473,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1473,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1538,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1538,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1538,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1603,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1603,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1603,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1668,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1668,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1668,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1733,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1733,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1733,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1798,jvm.gc.pause,Time spent in GC pause,seconds,COUNT,42.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1798,jvm.gc.pause,Time spent in GC pause,seconds,TOTAL_TIME,0.699,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
1798,jvm.gc.pause,Time spent in GC pause,seconds,MAX,0.0,cause: G1 Evacuation Pause; action: end of minor GC; gc: G1 Young Generation
