metric_id,name,description,baseUnit,statistic,value,tags
676,http.server.requests,,seconds,TOTAL_TIME,101.92457825300002,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
676,http.server.requests,,seconds,MAX,0.000796345,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
741,http.server.requests,,seconds,COUNT,55085.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
741,http.server.requests,,seconds,TOTAL_TIME,101.97105420900002,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
741,http.server.requests,,seconds,MAX,0.000958858,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
806,http.server.requests,,seconds,COUNT,55195.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
806,http.server.requests,,seconds,TOTAL_TIME,102.019939351,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
806,http.server.requests,,seconds,MAX,0.001200272,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
871,http.server.requests,,seconds,COUNT,55305.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
871,http.server.requests,,seconds,TOTAL_TIME,102.065575863,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
871,http.server.requests,,seconds,MAX,0.000607375,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
936,http.server.requests,,seconds,COUNT,55415.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
936,http.server.requests,,seconds,TOTAL_TIME,102.112910991,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; error: none; uri: /cache, /api/tasks, /emails, /movies/trending, /api/tasks/{id}, /dollars/value, /news/trending, /actuator/metrics/{requiredMetricName}, /weather/now, /animes/season/{year}/{season}, /games/trending, UNKNOWN, /actuator/metrics, /tvshows/trending; outcome: CLIENT_ERROR, SUCCESS; status: 400, 405, 200"
