metric_id,name,description,baseUnit,statistic,value,tags
2930,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
2995,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3060,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3125,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3190,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3255,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3320,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3385,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3450,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3515,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3580,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3645,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3710,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3775,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3840,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3905,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
3970,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4035,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4100,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4165,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4230,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4295,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4360,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4425,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4490,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4555,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4620,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4685,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4750,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
4815,cache.puts,The number of entries added to the cache,,COUNT,0.0,"cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, email, anime, dollar; name: news, game, movie, weather, tvshow, tracking, email, anime, dollar"
