metric_id,name,description,baseUnit,statistic,value,tags
1043,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1173,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1108,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1238,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1303,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1368,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1433,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1498,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1563,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1628,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1693,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
1758,cache.gets,The number of pending requests,,COUNT,0.0,"result: hit, pending, miss; cache.manager: cacheManager; cache: news, game, movie, weather, tvshow, tracking, anime, email, dollar; name: news, game, movie, weather, tvshow, tracking, anime, email, dollar"
