metric_id,name,description,baseUnit,statistic,value,tags
109,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
1864,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
1669,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
1734,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
1799,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
1929,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
1994,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2059,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2124,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2189,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2254,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2319,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2384,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2449,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2514,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2579,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2644,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2709,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2774,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2969,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
2839,jvm.info,JVM version info,,VALUE,1.0,vendor: Private Build; runtime: OpenJDK Runtime Environment; version: 17.0.9+9-Ubuntu-122.04
