metric_id,name,description,baseUnit,statistic,value,tags
2692,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2692,http.server.requests.active,,seconds,DURATION,0.000183839,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2757,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2757,http.server.requests.active,,seconds,DURATION,0.000187858,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2822,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2822,http.server.requests.active,,seconds,DURATION,0.000177035,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2887,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2887,http.server.requests.active,,seconds,DURATION,0.000204469,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2952,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
2952,http.server.requests.active,,seconds,DURATION,0.000195687,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3017,http.server.requests.active,,seconds,ACTIVE_TASKS,1.0,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
3017,http.server.requests.active,,seconds,DURATION,0.000195051,"exception: none; method: DELETE, OPTIONS, POST, PUT, GET; uri: UNKNOWN; outcome: SUCCESS; status: 200"
